Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/17/2025 1:05:57,18 - 24 years old,Student,July - September,Family (adults only),Family outing,"Positive online reviews, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions",Ride wait times and crowd levels,5,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Social media,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times",Yes,4,"Interactive park map, Show schedules and ride wait times","Perhaps, it is not really known that there is a dedicated Universal Studios App unless one purposefully researched before going to USS. Maybe better publicity on the App itself, perhaps through advertisement in common/usual online booking websites like Klook, etc.",CYLON,Has the most twists and always exhilarating even though one rides it multiple times.,Not applicable,,Canopy Flyer,Less than 15 minutes,4,4,Yes,No,,3,4,5,2,1,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,More variety of rides and more affordable food (at least competitive to the food choices on Sentosa that are outside of USS),Yes,"It's a great time to be spent with families, especially those whom are thrill-seekers."
2/17/2025 1:06:57,18 - 24 years old,Student,Can't recall / Not sure,"Family (including children), Family (adults only)",Family outing,Positive online reviews,Ticket pricing and affordability,4,Thrilling rides,Fun and family-friendly,Word of mouth,5,Yes and they influenced my decision to visit,Discounted tickets,No,5,"Somewhat clear, but some details were missing","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Online ticket booking,,Transformers,I like transformer,Not applicable,,Transformers,46 to 60 minutes,3,4,No,No,,4,2,3,5,1,No,No,No,3,Yes,Good bt ex,Yes,"No, I did not",,4,Nil,Yes,,Price cheaper,No,Save money pls
2/17/2025 1:41:14,18 - 24 years old,Student,October - December,"Family (including children), Friends","Special event / Celebration (eg. birthday, anniversary)",Reputation as a top theme park in Asia,Ride wait times and crowd levels,4,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,2,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Show schedules and ride wait times,,Transformers,It wasn't too scary. ,HUMAN,It was too scary. ,"Transformers, Revenge of the Mummy",61 to 90 minutes,3,4,Yes,No,,4,1,2,3,5,Yes,Yes,,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,NIL,Yes,It's very worth the money. 
2/17/2025 2:13:23,18 - 24 years old,Student,Can't recall / Not sure,"Family (adults only), Friends",Family outing,"Positive online reviews, Reputation as a top theme park in Asia",Ride wait times and crowd levels,4,"Thrilling rides, Food and dining experience",High quality and premium entertainment,Word of mouth,4,Yes and they influenced my decision to visit,Bundle deals (hotel + ticket packages etc.),Yes,4,"Yes, everything was clear","Better mobile optimisation, More detailed ride descriptions and photos/videos","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,fun and quick ,Not applicable,,"CYLON, Revenge of the Mummy",46 to 60 minutes,3,4,No,No,,4,3,2,1,5,Yes,No,No,3,Yes,fun and good customer service ,Yes,"No, I did not",,4,NIL,Yes,,NIL,Yes,fun and family friendly 
2/17/2025 2:38:00,18 - 24 years old,Student,October - December,Friends,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",5,"Thrilling rides, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision",Bundle deals (hotel + ticket packages etc.),No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,I just like roller coaster ,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy, Sesame Street Spaghetti Space Chase, Puss in Boots",46 to 60 minutes,3,4,Yes,No,,3,2,1,4,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Public transport accessibility as usually its so crowded and full,Yes,Its a u must go at least once in your whole life thing
2/17/2025 5:27:58,18 - 24 years old,Employed,Can't recall / Not sure,Family (including children),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",3,Thrilling rides,Exciting and thrilling rides,Travel agencies/tour packages,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",Yes,4,"Yes, everything was clear","Better mobile optimisation, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,I found it most thrilling,Not applicable,,"CYLON, Revenge of the Mummy",31 to 45 minutes,3,3,No,Yes,2,2,3,1,4,5,Yes,No,Yes,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Maybe,It's pretty expensive. It's not worth paying that amount again just to experience the same thing.,Updated attractions / cheaper price.,Yes,I would say it's worth it to experience the park once. 
2/17/2025 6:05:26,45 years old and above,Employed,October - December,Colleagues,Business/Corporate event,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Park cleanliness and hygiene, Food options and prices",3,"Thrilling rides, Live shows and entertainment, Food and dining experience",High quality and premium entertainment,Social media,3,"No, I haven't seen any ads","Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",No,3,"Somewhat clear, but some details were missing","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",3,Interactive park map,,Revenge of the Mummy,Storyline,Not applicable,Not Applicable,Transformers,46 to 60 minutes,2,3,No,No,3,1,2,3,4,5,Yes,Yes,Yes,3,No,Nil,Not applicable,"No, I did not",3,3,Nil,Maybe,Price and experience ,Price and experience ,No,Price and experience 
2/17/2025 6:21:12,18 - 24 years old,Student,October - December,Friends,"Special event / Celebration (eg. birthday, anniversary)","Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",5,"Thrilling rides, Live shows and entertainment",Fun and family-friendly,Travel agencies/tour packages,3,"No, I haven't seen any ads","Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",Yes,3,"Somewhat clear, but some details were missing","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"because most of the ride was in the dark, it made the experience somewhat more thrilling ",Not applicable,,Transformers,31 to 45 minutes,5,4,Yes,No,,4,3,1,2,5,Yes,Yes,Yes,4,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,"more maps throughout the park, so we can navigate through them better",Yes,"Its fun, and maybe the biggest in southeast asia "
2/17/2025 6:35:14,18 - 24 years old,Employed,Can't recall / Not sure,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",Yes,2,"Somewhat clear, but some details were missing","Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Show schedules and ride wait times,,Revenge of the Mummy,thrilling and unpredictable,Not applicable,,"Transformers, Revenge of the Mummy",31 to 45 minutes,3,3,Yes,No,,1,4,3,2,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,2,NIL,Yes,,shorter queue time / cheaper tickets,Yes,Good experience especially for tourist
2/17/2025 6:51:44,25 - 34 years old,Employed,April - June,Family (adults only),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Family/group discounts",Yes,4,"Somewhat clear, but some details were missing",More user-friendly ticket booking process,"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,Most thrilling ride,Sesame Street Spaghetti Space Chase,crowded but boring,Sesame Street Spaghetti Space Chase,31 to 45 minutes,4,3,No,No,,3,1,2,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,If they have new rides and if I go with a new group of people,New rides,Yes,It's still fun if you've never been there
2/17/2025 8:27:49,18 - 24 years old,Student,January - March,Romantic partner,Date/Romantic experience,Friends or family recommendations,Ride wait times and crowd levels,4,Overall park atmosphere and theme,Fun and family-friendly,Social media,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions",Yes,5,"Yes, everything was clear",More detailed ride descriptions and photos/videos,Yes,5,Show schedules and ride wait times,na,Revenge of the Mummy,dark cant expect whats next,Not applicable,na,"HUMAN, CYLON",31 to 45 minutes,3,4,Yes,No,3,2,3,4,5,1,No,No,Yes,2,No,nil,Not applicable,"No, I did not",,2,nil,Yes,na,new rides,Yes,great place to spend time cuz sg got nothing else to do :)
2/17/2025 8:32:48,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment",Fun and family-friendly,Travel agencies/tour packages,5,"Yes, but they did not influence my decision","Bundle deals (hotel + ticket packages etc.), Family/group discounts",No,2,"Somewhat clear, but some details were missing","Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Online ticket booking,,Revenge of the Mummy,Looks interesting,Not applicable,,,15 to 30 minutes,3,,Yes,No,,1,4,3,2,5,Yes,No,Yes,4,No,NIL,Not applicable,"No, I did not",,4,NIL,No,Not my thing,NIL,Yes,It's fun i guess
2/17/2025 9:16:39,18 - 24 years old,Student,October - December,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions",Ride wait times and crowd levels,4,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.)",Yes,4,"Somewhat clear, but some details were missing","More detailed ride descriptions and photos/videos, More user-friendly ticket booking process","No, I didn't find it necessary",,Not applicable (Did not use the app),,Transformers,found it the most thrilling ,Revenge of the Mummy,a bit underwhelming ,,15 to 30 minutes,3,3,Yes,No,,4,2,1,3,5,Yes,No,,3,Yes,It was good.,Yes,"No, I did not",,3,NIL,Yes,,-,Yes,It is a good attraction to visit when in Singapore. 
2/17/2025 12:12:48,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,"Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment",High quality and premium entertainment,Social media,4,Yes and they influenced my decision to visit,Family/group discounts,Yes,4,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,"Online ticket booking, Interactive park map",,Transformers,It's fun and the interior of the ride is very cool,Not applicable,,Transformers,15 to 30 minutes,5,5,Yes,No,,1,4,5,3,2,Yes,Yes,Yes,4,No,NIL ,Yes,"No, I did not",,4,NIL,Yes,,More rides and shows,Yes,Because there are various rides and shows
2/17/2025 12:51:13,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,Ticket pricing and affordability,4,Thrilling rides,High quality and premium entertainment,Word of mouth,3,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,3,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",3,Not applicable (Did not use the app),,Revenge of the Mummy,Fast paced and dark,Not applicable,,"CYLON, Revenge of the Mummy",31 to 45 minutes,2,2,No,No,,1,4,2,3,5,No,No,No,3,No,NIL,Not applicable,"No, I did not",3,3,NIL,Maybe,Not sure if it is worth the price of admission,Reduced ticket prices,Yes,It is a good place to have fun in Singapore.
2/17/2025 13:16:47,18 - 24 years old,Student,October - December,Romantic partner,Date/Romantic experience,"Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Somewhat clear, but some details were missing","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,The queue was long but the ride was super fun,Not applicable,,Revenge of the Mummy,31 to 45 minutes,4,4,Yes,No,,1,5,4,3,2,No,Yes,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,live tracking of queue times in the app/web,Yes,I went there during HHN and it was pretty fun (I enjoy rollercoasters) and the haunted houses and scare zones were pretty good!
2/17/2025 15:24:06,18 - 24 years old,Student,July - September,Family (including children),Family outing,Special events or themed attractions,Ride wait times and crowd levels,4,"Thrilling rides, Shorter queue times and Express Pass benefits",Fun and family-friendly,Word of mouth,3,"Yes, but they did not influence my decision","Discounted tickets, Family/group discounts",No,,"Yes, everything was clear",More detailed ride descriptions and photos/videos,Yes,4,Show schedules and ride wait times,,CYLON,The most scary one,Sesame Street Spaghetti Space Chase,Very short ride,Sesame Street Spaghetti Space Chase,61 to 90 minutes,1,3,No,Yes,4,1,2,3,4,5,Yes,Yes,Yes,4,Yes,Yes,Yes,"No, I did not",,3,Nil,Yes,,Waiting line,Yes,Fun 
2/17/2025 15:40:47,18 - 24 years old,Student,October - December,Family (including children),Family outing,"Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",No,3,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),gapake woi,Transformers,so fun,Not applicable,,,61 to 90 minutes,2,4,Yes,No,,3,4,2,1,5,No,No,Yes,3,Yes,NIL,Yes,"No, I did not",,4,NIL,Yes,,cheaper tickets / discounts,Yes,"safe rides, fun experience"
2/17/2025 15:40:54,18 - 24 years old,Student,October - December,Friends,Social gathering,"Reputation as a top theme park in Asia, Special events or themed attractions",Ticket pricing and affordability,5,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"indoor, not too extreme",Sesame Street Spaghetti Space Chase,rather boring,Transformers,More than 90 minutes,2,4,Yes,No,,4,3,2,1,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,cheaper tickets,Yes,very fun theme park experience with characters from movies you know. safe rides
2/17/2025 17:47:35,18 - 24 years old,Employed,October - December,Friends,Halloween Horror Night,"Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels",4,Overall park atmosphere and theme,High quality and premium entertainment,Social media,3,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Thrilling and I love the audiovisual effects,Not applicable,,Transformers,More than 90 minutes,3,5,No,No,,2,4,3,1,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,Depending on offering or promotion,"Better crowd management, more transparent and live tracking of queue length, more attractions outside of ride/show",Yes,Maybe can recommend for first time visit just to experience
2/17/2025 17:53:04,18 - 24 years old,Employed,October - December,"Friends, Romantic partner",Date/Romantic experience,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,5,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,The most thrilling,Sesame Street Spaghetti Space Chase,Probably just boring? And it was the closest to the entrance,"HUMAN, CYLON",46 to 60 minutes,3,4,No,No,,4,3,5,2,1,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,"Depends, if someone invites me then I'll definitely go, but not really interested in going alone or inviting anyone to visit",More seasonal events? Halloween was a blast.,Yes,"If they never visit then it is a must-visit for first-timer, but probably not something for multiple visits"
2/17/2025 17:59:47,18 - 24 years old,Employed,October - December,"Family (adults only), Friends, Alone, Colleagues",Business/Corporate event,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment",High quality and premium entertainment,Travel agencies/tour packages,3,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,,Not applicable (Did not use the website),"More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,Fun,Not applicable,,"HUMAN, CYLON, Transformers, Revenge of the Mummy",46 to 60 minutes,2,4,No,No,3,2,5,4,3,1,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,New rides,No,Got better theme parks
2/17/2025 19:00:15,18 - 24 years old,Employed,October - December,Romantic partner,Date/Romantic experience,"Reputation as a top theme park in Asia, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Live shows and entertainment, Shopping and merchandise, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,1,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't find it necessary",,Not applicable (Did not use the app),,Revenge of the Mummy,different vibes,Sesame Street Spaghetti Space Chase,the queue was too long yet the ride is so-so,CYLON,More than 90 minutes,4,5,No,No,,1,2,3,4,5,Yes,Yes,Yes,5,No,NIL,Not applicable,"No, I did not",,5,NIL,Maybe,depends on the event,a decrease on the ticket prices,Yes,bc its nice overall
2/17/2025 19:09:34,18 - 24 years old,Student,January - March,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Special events or themed attractions","Ride wait times and crowd levels, Accessibility and transportation",5,"Thrilling rides, Live shows and entertainment, Food and dining experience, Shopping and merchandise, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,1,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,I liked Transformers and robots when I was a child,Not applicable,,"Transformers, Puss in Boots",31 to 45 minutes,5,5,Yes,No,,5,4,2,1,3,Yes,Yes,Yes,5,Yes,"It was nice, and we enjoyed our stay",Yes,"No, I did not",,5,NIL,Yes,,Shorter wait times,Yes,"I feel like USS is a great place for people to enjoy their life and destress, and have fun along with their loved ones. It takes them back to their childhood no matter how old they are"
2/17/2025 21:27:18,18 - 24 years old,Student,October - December,"Family (adults only), Friends",Family outing,Special events or themed attractions,"Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Food and dining experience, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,2,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,cause everyone likes it so u wont be alone,Puss in Boots,the queue was too long it was bot worth the ride,Puss in Boots,61 to 90 minutes,3,3,Yes,No,,5,3,2,1,4,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,cheaper foods ,Yes,because its fun
2/18/2025 0:16:26,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision",Seasonal event promotions,No,3,"Somewhat clear, but some details were missing",Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"Fun and Amusing, Good Reviews",Not applicable,,,46 to 60 minutes,4,4,Yes,No,,2,4,3,1,5,Yes,No,Yes,3,No,NIL,Yes,"No, I did not",,4,NIL,Yes,,NIL,Yes,"It is enjoyable for most ages range, good for a whole family trip"
2/18/2025 21:52:11,18 - 24 years old,Student,October - December,Family (including children),Date/Romantic experience,Reputation as a top theme park in Asia,Park cleanliness and hygiene,3,Thrilling rides,Fun and family-friendly,Online ads,3,Yes and they influenced my decision to visit,Discounted tickets,Yes,3,"Somewhat clear, but some details were missing","More accessible customer support (Live Chat, FAQ, etc)",Yes,3,Show schedules and ride wait times,,Revenge of the Mummy,Very big ,Transformers,,Sesame Street Spaghetti Space Chase,46 to 60 minutes,1,3,No,No,3,1,2,3,4,5,Yes,Yes,Yes,3,No,Nil,Not applicable,"No, I did not",3,3,Nil,No,,Lower wait time,No,Lower wait time
2/18/2025 22:13:18,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Reputation as a top theme park in Asia, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",Yes,2,"Yes, everything was clear",Live updates on crowd levels and wait times,Yes,,"Interactive park map, Show schedules and ride wait times",,CYLON,Most exciting ride in the park,Transformers,Felt it was quite boring overall,"HUMAN, CYLON",46 to 60 minutes,3,2,No,No,,2,1,3,4,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Too few attractions to warrant another pricey visit ,More attractions in the park,Yes,"Recommend only for a one time visit, as I feel some of the attractions are worth visiting"
2/19/2025 9:00:43,18 - 24 years old,Student,Can't recall / Not sure,"Family (adults only), Friends",Family outing,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",3,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.)",Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Childhood favorite,Not applicable,,,31 to 45 minutes,3,3,No,No,,5,3,2,1,4,Yes,Yes,Yes,4,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,Depends on ticket prices and who I'm going with,"I think lower ticket prices would do the trick, however, I think it's more on the correct timing to go there (i.e. peak vs non-peak season)",Yes,I think it's a good experience to try for those who have not been there
2/20/2025 20:00:14,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,Overall park atmosphere and theme,Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads",Discounted tickets,No,4,"Somewhat clear, but some details were missing",Not applicable (Did not use the website),"No, I didn't know there was an app",,Show schedules and ride wait times,,Revenge of the Mummy,its the only thing i played,Revenge of the Mummy,crowd level,"HUMAN, CYLON",46 to 60 minutes,3,3,Yes,No,,1,2,3,4,5,Yes,Yes,Yes,3,No,NIL,Not applicable,"No, I did not",,3,nIL,No,no feels,cheaper,Yes,"its still a theme park, not many places to go in SG"
2/20/2025 20:46:44,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",Yes,4,"Yes, everything was clear","Better mobile optimisation, Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,the experience was thrilling,Not applicable,,"Revenge of the Mummy, Puss in Boots",46 to 60 minutes,4,4,No,No,,3,5,2,1,4,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,better crowd management,No,expensive and not much new things 
